Artikelnummer;ShopPlus;Merk;Categorie;Productnaam;Productnaam (FR);Lange beschrijving;Korte beschrijving;Lange beschrijving (FR);Korte beschrijving (FR);Consumentenprijs (incl. BTW);BestelWeb;Packshot;Biolabel;Fairtradelabel;Herkomst;Bevat;Kan sporen bevatten van;Brutogewicht (kg);Lengte (mm);Breedte (mm);Hoogte (mm);BTW-tarief;Ingrediënten;Ingrediënten (FR);Energie (kJ);Vetten (g);Verzadigde vetten (g);Enkelvoudig onverzadigde vetten (g);Meervoudig onverzadigde vetten (g);Koolhydraten (g);Suikers (g);Polyolen (g);Zetmeel (g);Vezels (g);Eiwitten (g);Zout (g);Houdbaarheid (dagen);Netto-inhoud;Eenheid;Eenheidsprijs;EAN;Ompakhoeveelheid;Leeggoed;Gepubliceerd;Laatst bijgewerkt
20031;W10031;Oxfam Fair Trade;Wijn>Rood;BIO Lautaro Cabernet Sauvignon Gran Reserva;Lautaro Cabernet Sauvignon Gran Reserva bio;18 maand rijping op eiken vat geeft veel finesse in de neus, met zwart fruit, wat chocolade, zwarte peper en drop. In de mond een frisfruitige aanzet, mooie aciditeit, rijpe tannines en een volle finale.;Een aanrader bij stoofpotjes met kruidige diepgang en gegrild rundsvlees. Serveer op 16-18 °C. Gebotteld in Chili.;18 mois de maturation en fûts de chêne donnent beaucoup de finesse dans le nez, avec des notes de fruits rouges, du chocolat, de poivre noir et de réglisse. Une mise en bouche fraîche et fruitée, une belle acidité, des tannins mûrs et une belle fin de bouche.;Conseillé avec des pot-au-feu épicés et de la viande grillée. Servir à 16°-18° C. Mis en bouteille au Chili.;10,45;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20031-600x600.jpg;Ja;Ja;Chili;sulfieten;/;1,5;75;75;314;21%;;;;;;;;;;;;;;;;75;cl;€/l 13,93;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20032;W10032;Oxfam Fair Trade;Wijn>Rood;BIO Lautaro Cabernet Sauvignon;Lautaro Cabernet Sauvignon bio;Deze complexe bio cabernet heeft een weelderig boeket van vers rood fruit, eucalyptus en een lichte vanille toets. De smaak is vol en sappig, met mooi kersenfruit en een fluwelige afdronk.;Heerlijk bij fijne charcuterie, rood vlees en gebraadschotels. Serveer op 16-18 °C. Gebotteld in Chili.;Ce Cabernet bio complexe présente un bouquet de fruits rouges frais, eucalyptus, et une touche de vanille. En bouche il est goulayant et fruité (cérises) avec un final velouté.;Délicieux avec de la charcuterie fine, de la viande rouge et des rôtis. Servir à 16°-18° C. Mis en bouteille au Chili.;6,95;onbackorder;https://www.oxfamfairtrade.be/wp-content/uploads/20032-600x600.jpg;Ja;Ja;Chili;sulfieten;/;1,19;75;75;305;21%;;;;;;;;;;;;;;;;75;cl;€/l 9,27;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20050;W10050;Oxfam Fair Trade;Wijn>Rood;Cabernet Sauvignon BOX 3 l;Cabernet Sauvignon BOX 3 l;Een speelse, fruitige cabernet met aangename tannines en een zachte kruidigheid.;Ideaal bij rood vlees en grillades. Serveer op 14-16 °C. In bag-in-box verpakking met de inhoud van 4 flessen.;Jeune, léger, aux tanins agréables et goût légèrement épicé.;Accompagne avec bonheur les viandes rouges et les grillades. Servir à 14°-16° C. Ce outre à vin contient l'équivalent de 4 bouteilles.;16,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20050-600x600.jpg;Nee;Ja;Chili;sulfieten;/;3,2;123;128;230;21%;;;;;;;;;;;;;;;;300;cl;€/l 5,65;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20052;W10052;Oxfam Fair Trade;Wijn>Rood;Koopmanskloof Shiraz;Koopmanskloof Shiraz;Dieprode wijn met een aroma van rood fruit en specerijen. Fruitig en soepel in de mond, met peper- en koffietoetsen.;"Winnaar van een gouden medaille op de internationale Michelangelo-wijnwedstrijd!

Lekker bij wildschotels, BBQ en kruidige stoofgerechten. Serveer op 14-16 °C. Gebotteld in Zuid-Afrika.";Ce vin rouge foncé a un arôme expressif de fruits rouges et d’épices. Fruité et souple en bouche avec des touches de poivre et de café.;Un vin puissant qui accompagnera parfaitement les plats de gibier, le barbecue et des plats épicés. Servir à 14°-16° C. Mis en bouteille en Afrique du Sud.;6,75;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20052-600x600.jpg;Nee;Ja;Zuid-Afrika;sulfieten;/;1,2;80;80;299;21%;;;;;;;;;;;;;;;;75;cl;€/l 9,00;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20054;W10054;Oxfam Fair Trade;Wijn>Rood;BIO La Posada Malbec;La Posada Malbec bio;Deze malbec heeft een intens aroma van viooltjes, rode vruchten, pruimen, bessen en hazelnoot, met een hint van tabak, chocolade en vanille.;Lekker bij gegrild rood vlees, stevig gekruide schotels, gegrilde groenten, pasta, kaas en pure chocolade. Serveer op 14-16 °C. Gebotteld in Argentinië.;Ce Malbec a le saveur intense de violettes, fruits rouges, prunes, groseilles et noisettes et un arôme discret de tabac, chocolat et vanille.;Excellent pour accompagner la viande rouge grillée, les plats épicés, les légumes grillés, les pâtes, le fromage et le chocolat fondant. Servir à 14°-16° C. Mis en bouteille en Argentine.;7,60;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20054-600x600.jpg;Ja;Ja;Argentinië;sulfieten;eieren;1,15;74;74;288;21%;;;;;;;;;;;;;;;;75;cl;€/l 10,13;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20055;W10055;Oxfam Fair Trade;Wijn>Rood;Lautaro Cabernet Sauvignon;Lautaro Cabernet Sauvignon;In de aanzet bezit deze cabernet sauvignon het aroma van zwart fruit, groene paprika, cassis en peper. Dit geurenpalet evolueert mooi naar een boeket van rood fruit en specerijen. Hij bezit veel karamel in de mond en heeft een aangename afdronk.;Lekker bij rood vlees en grillades. Serveer op 14-16 °C. Gebotteld in Chili.;A l’attaque, ce Cabernet Sauvignon présente des arômes de fruits noirs, de poivron vert, de cassis et de poivre. Cette palette de goûts évolue ensuite vers un bouquet de fruits rouges et d’épices. Il a des notes de caramel dans une fin de bouche très agréable. Se conserve deux à trois ans.;Conseillé avec des viandes rouges et des grillades. Servir à 14°-16° C. Mis en bouteille au Chili.;6,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20055-600x600.jpg;Nee;Ja;Chili;sulfieten;/;1,215;75;75;310;21%;;;;;;;;;;;;;;;;75;cl;€/l 9,27;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20058;W10058;Oxfam Fair Trade;Wijn>Rood;Cabernet Sauvignon 25 cl;Cabernet Sauvignon 25 cl;Een speelse, fruitige cabernet met aangename tannines en een zachte kruidigheid. Jong te drinken.;Ideaal bij rood vlees en grillades. Serveer op 14-16 °C.;Jeune, léger, aux tanins agréables et goût légèrement épicé. A boire jeune.;Accompagne avec bonheur les viandes rouges et les grillades. Servir à 14°-16° C.;2,05;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20058-600x600.jpg;Nee;Ja;Chili;sulfieten;/;0,45;53;53;200;21%;;;;;;;;;;;;;;;;25;cl;€/l 8,20;5,40016E+12;20;0,00;2016-12-31;2019-02-12
20059;W10059;Oxfam Fair Trade;Wijn>Rood;Cabernet Sauvignon 75 cl;Cabernet Sauvignon 75 cl;Een speelse, fruitige cabernet met aangename tannines en een zachte kruidigheid. Jong te drinken.;Ideaal bij rood vlees en grillades. Serveer op 14-16 °C.;Jeune, léger, aux tanins agréables et goût légèrement épicé. A boire jeune.;Accompagne avec bonheur les viandes rouges et les grillades. Servir à 14°-16° C.;4,75;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20059-600x600.jpg;Nee;Ja;Chili;sulfieten;/;1,34;74;74;314;21%;;;;;;;;;;;;;;;;75;cl;€/l 6,33;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20060;W10060;Oxfam Fair Trade;Wijn>Rood;Merlot;Merlot;Mooie, aantrekkelijke wijn met een robijnrode kleur met jeugdige paarse schijn. Fruitige tonen met een soepele afdronk. Deze complexloze wijn past uitstekend bij de dagelijkse keuken.;Lekker bij ratatouille, osso buco, pasta en gevogelte. Serveer op 14-16 °C.;Cet excellent Merlot est riche en arômes de fruits rouges mûrs. En bouche, une rondeur savoureuse, doux et subtilement fruité.;Délicieux avec la ratatouille, l’osso buco, les pâtes et la volaille. Servir à 14°-16° C.;5,25;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20060-600x600.jpg;Nee;Ja;Argentinië;sulfieten;eieren;1,34;74;74;314;21%;;;;;;;;;;;;;;;;75;cl;€/l 7,00;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20062;W10062;Oxfam Fair Trade;Wijn>Rood;RAZA Malbec Reserva;RAZA Malbec Reserva;In het glas geeft deze Reserva malbec een overvloed aan zwart fruit, een hint van vanille en een subtiele gerookte toets. In de mond is deze rode wijn intens smaakvol, met een zacht sappige, fruitige afdronk. Krachtige wijn door rust op eiken vaten.;Lekker bij hartige vleesgerechten, stoofpotten, lichte wildschotels en volle Italiaanse gerechten. Ook heerlijk bij kaas, of om zo te drinken. Serveer op 16-18 °C. Gebotteld in Argentinië.;Dans son verre, ce Reserva Malbec a une abondance de fruits noirs, une touche de vanille et une légère saveur fumée. En bouche, des saveurs intenses avec une arrière-bouche juteuse et fruitée. Vin vigoureux ayant mûri dans des fûts de chêne.;Ce vin se prête à des plats de viandes épicés, des pots au feu, des plats de gibier légers et des plats italiens. Délicieux avec des fromages ou pour boire en tant que tel. Servir à 16°-18°C. Mis en bouteille en Argentine.;9,20;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20062-600x600.jpg;Nee;Ja;Argentinië;sulfieten;eieren;1,15;74;74;315;21%;;;;;;;;;;;;;;;;75;cl;€/l 12,27;5,40016E+12;6;0,00;2016-12-31;2019-02-12
